frase,situacao
"sinto uma leve dor no tornozelo ao fazer exercício na esteira",baixo risco
"estou com dor no peito e sensação de aperto que dura mais de 20 minutos",alto risco
"tenho uma leve dor no joelho ao fazer extensão de perna",baixo risco
"estou com dor intensa na região do rim e febre com calafrios",alto risco
"sinto uma leve dor no ombro ao fazer remada",baixo risco
"minha perna está fria e sem pulso palpável",alto risco
"tenho uma leve dor no pescoço ao fazer exercício de peito",baixo risco
"estou com vômitos persistentes e não consigo manter nada no estômago há dois dias",alto risco
"sinto uma leve dor no cotovelo ao fazer rosca martelo",baixo risco
"tive uma queda de bicicleta e estou com dor forte no tórax ao respirar",alto risco
"tenho uma leve dor no calcanhar ao descer ladeira",baixo risco
"estou com dor abdominal intensa e febre após procedimento médico",alto risco
"sinto uma leve dor no joelho ao fazer bicicleta ergométrica",baixo risco
"minha urina está com sangue e tenho dor lombar intensa dos dois lados",alto risco
"tenho uma leve dor no ombro ao fazer crucifixo",baixo risco
"estou com febre alta e dor de cabeça com vômitos e sensibilidade à luz",alto risco
"sinto uma leve dor no tornozelo ao fazer agachamento",baixo risco
"tive uma picada de aranha e o local está necrosando",alto risco
"tenho uma leve dor no punho ao fazer flexão de punho",baixo risco
"estou com dor no peito que aparece ao fazer esforço e some ao descansar",alto risco
"sinto uma leve dor no quadril ao fazer abdução de perna",baixo risco
"minha garganta está fechando e estou com dificuldade para respirar após tomar remédio",alto risco
"tenho uma leve dor no joelho ao fazer step",baixo risco
"estou com dor de cabeça que piora ao se deitar e melhora em pé",alto risco
"sinto uma leve dor no ombro ao fazer pulldown",baixo risco
"tive uma queimadura com água fervente em grande parte do braço com bolhas",alto risco
"tenho uma leve dor no cotovelo ao fazer extensão de tríceps",baixo risco
"estou com dor abdominal intensa no lado esquerdo com febre e calafrios",alto risco
"sinto uma leve dor no calcanhar ao subir escadas",baixo risco
"minha pressão está muito alta e estou com sangramento nasal intenso",alto risco
"tenho uma leve dor no pescoço ao fazer exercício de costas",baixo risco
"estou com inchaço e dor intensa na mandíbula com febre e dificuldade para abrir a boca",alto risco
"sinto uma leve dor no joelho ao fazer lunges",baixo risco
"tive uma intoxicação alimentar grave com vômitos e diarreia incessantes e desidratação",alto risco
"tenho uma leve dor no ombro ao fazer exercício com elástico",baixo risco
"estou com dor no peito e falta de ar que pioram ao subir escadas",alto risco
"sinto uma leve dor no tornozelo ao fazer exercício de equilíbrio",baixo risco
"meu braço está muito inchado e vermelho após picada de inseto com febre",alto risco
"tenho uma leve dor no quadril ao fazer exercício de adução",baixo risco
"estou com febre persistente e suores noturnos com perda de peso inexplicável",alto risco
"sinto uma leve dor no cotovelo ao fazer exercício de bíceps",baixo risco
"tive uma queda e meu tornozelo está em posição anormal e muito inchado",alto risco
"tenho uma leve dor no calcanhar ao fazer exercício de panturrilha",baixo risco
"estou com dor de cabeça intensa e perda de visão parcial de um lado",alto risco
"sinto uma leve dor no joelho ao fazer exercício de cadeira extensora",baixo risco
"minha respiração está muito curta e rápida mesmo sem fazer nada",alto risco
"tenho uma leve dor no ombro ao fazer exercício de ombro com halter",baixo risco
"estou com dor forte no peito e costas ao mesmo tempo com falta de ar",alto risco
"sinto uma leve dor no pescoço ao fazer exercício de trapézio",baixo risco
"tive uma crise de pânico mas a dor no peito não passa e está irradiando",alto risco
"tenho uma leve dor no tornozelo ao fazer exercício de mobilidade",baixo risco
"estou com sangramento intenso após extração dentária que não para há horas",alto risco
"sinto uma leve dor no joelho ao fazer exercício de flexão de perna",baixo risco
"estou com dor intensa no peito ao engolir alimentos sólidos",alto risco
"sinto uma leve dor no ombro ao fazer exercício de puxada",baixo risco
"minha pele está com bolhas grandes e dolorosas após queimadura solar severa",alto risco
"tenho uma leve dor no cotovelo ao apoiar na mesa de trabalho",baixo risco
"estou com dor abdominal intensa e distensão com impossibilidade de evacuar",alto risco
"sinto uma leve dor no calcanhar ao andar descalço",baixo risco
"tive uma perda de consciência durante exercício físico",alto risco
"tenho uma leve dor no pescoço ao virar para estacionar o carro",baixo risco
"estou com febre alta e dor intensa na região pélvica com secreção",alto risco
"sinto uma leve dor no joelho ao fazer exercício de leg curl",baixo risco
"minha visão está com flashes de luz e manchas escuras flutuantes",alto risco
"tenho uma leve dor no ombro ao fazer exercício de fly",baixo risco
"estou com dor no peito que começou durante o sono e me acordou",alto risco
"sinto uma leve dor no tornozelo ao fazer exercício de salto",baixo risco
"tive uma reação a transfusão de sangue com febre e calafrios",alto risco
"tenho uma leve dor no quadril ao fazer exercício de ponte",baixo risco
"estou com dor de cabeça intensa e zumbido nos ouvidos com tontura",alto risco
"sinto uma leve dor no cotovelo ao fazer exercício de remada",baixo risco
"meu pescoço está muito rígido e não consigo encostar o queixo no peito",alto risco
"tenho uma leve dor no calcanhar ao fazer exercício de step",baixo risco
"estou com dor forte no quadril após queda e não consigo rodar a perna",alto risco
"sinto uma leve dor no joelho ao fazer exercício de afundo",baixo risco
"tive uma exposição a gás tóxico e estou com tosse intensa e falta de ar",alto risco
"tenho uma leve dor no ombro ao fazer exercício de arnold press",baixo risco
"estou com inchaço e dor intensa no braço após aplicação de medicamento",alto risco
"sinto uma leve dor no pescoço ao fazer exercício de encolhimento",baixo risco
"minha temperatura está muito baixa e estou tremendo sem controle",alto risco
"tenho uma leve dor no tornozelo ao fazer exercício de elevação",baixo risco
"estou com dor abdominal intensa e sangramento vaginal durante a gravidez",alto risco
"sinto uma leve dor no quadril ao fazer exercício de agachamento sumô",baixo risco
"tive uma queda e estou com dor forte na coluna e formigamento nas pernas",alto risco
"tenho uma leve dor no cotovelo ao fazer exercício de pullover",baixo risco
"estou com febre alta e confusão mental após viagem para região tropical",alto risco
"sinto uma leve dor no calcanhar ao fazer exercício de corrida leve",baixo risco
"meu coração está batendo de forma caótica e sinto que vou desmaiar",alto risco
"tenho uma leve dor no joelho ao fazer exercício de wall sit",baixo risco
"estou com dor no peito e inchaço nas pernas com falta de ar ao deitar",alto risco
"sinto uma leve dor no ombro ao fazer exercício de face pull",baixo risco
"tive uma ingestão de medicamentos em excesso e estou sonolento",alto risco
"tenho uma leve dor no pescoço ao fazer exercício de rotação cervical",baixo risco
"estou com dor intensa na região do apêndice com febre e náusea",alto risco
"sinto uma leve dor no tornozelo ao fazer exercício de propriocepção",baixo risco
"minha pele está com erupções dolorosas em faixa de um lado do corpo",alto risco
"tenho uma leve dor no quadril ao fazer exercício de elevação pélvica",baixo risco
"estou com sangramento intenso após acidente com objeto cortante no abdômen",alto risco
"sinto uma leve dor no cotovelo ao fazer exercício de concentração",baixo risco
"tive uma crise epiléptica na água e engoli muita água",alto risco
"tenho uma leve dor no calcanhar ao fazer exercício de agachamento",baixo risco
"estou com dor de cabeça intensa e fraqueza em um lado do corpo",alto risco
"sinto uma leve dor no joelho ao fazer exercício de cadeira adutora",baixo risco
"estou com dor forte no peito e tosse com secreção rosada espumosa",alto risco
"sinto uma leve dor no ombro ao fazer exercício de elevação frontal",baixo risco
"minha pressão arterial está oscilando muito com tontura e visão turva",alto risco
"tenho uma leve dor no pescoço ao usar travesseiro alto",baixo risco
"estou com febre alta e dor intensa nas costas com dificuldade para urinar",alto risco
"sinto uma leve dor no tornozelo ao fazer exercício de flexão plantar",baixo risco
"tive uma queda de cavalo e estou com dor forte no tórax e abdômen",alto risco
"tenho uma leve dor no quadril ao fazer exercício de abdução lateral",baixo risco
"estou com dor abdominal intensa que piora ao comer e irradia para as costas",alto risco
"sinto uma leve dor no cotovelo ao fazer exercício de extensão",baixo risco
"minha garganta está com abscesso e estou com febre alta e dificuldade para engolir",alto risco
"tenho uma leve dor no calcanhar ao usar tênis sem amortecimento",baixo risco
"estou com dor no peito e palpitações após uso de substância estimulante",alto risco
"sinto uma leve dor no joelho ao fazer exercício de panturrilha em pé",baixo risco
"tive uma lesão no olho com objeto pontiagudo e estou com dor intensa",alto risco
"tenho uma leve dor no ombro ao fazer exercício de rotação externa",baixo risco
"estou com inchaço e vermelhidão intensa na face com febre alta",alto risco
"sinto uma leve dor no pescoço ao fazer exercício de flexão lateral",baixo risco
"minha respiração está com cheiro de acetona e estou muito confuso",alto risco
"tenho uma leve dor no tornozelo ao fazer exercício de dorsiflexão",baixo risco
"estou com dor de cabeça intensa após punção lombar",alto risco
"sinto uma leve dor no quadril ao fazer exercício de clamshell",baixo risco
"tive uma reação adversa a medicamento com erupção cutânea generalizada e febre",alto risco
"tenho uma leve dor no cotovelo ao fazer exercício de hammer curl",baixo risco
"estou com dor forte no peito e costas com sensação de rasgar por dentro",alto risco
"sinto uma leve dor no calcanhar ao fazer exercício de subida no step",baixo risco
"minha perna está com ferida que não cicatriza e está com cheiro forte",alto risco
"tenho uma leve dor no joelho ao fazer exercício de agachamento búlgaro",baixo risco
"estou com febre alta e dor intensa na articulação com inchaço e vermelhidão",alto risco
"sinto uma leve dor no ombro ao fazer exercício de press militar",baixo risco
"tive uma queda e estou com sangramento pelo ouvido e líquido claro pelo nariz",alto risco
"tenho uma leve dor no pescoço ao fazer exercício de extensão cervical",baixo risco
"estou com dor abdominal intensa e icterícia com febre alta",alto risco
"sinto uma leve dor no tornozelo ao fazer exercício de inversão do pé",baixo risco
"meu braço está com deformidade visível após trauma e dor intensa",alto risco
"tenho uma leve dor no quadril ao fazer exercício de fire hydrant",baixo risco
"estou com dor no peito que irradia para ambos os braços com sudorese profusa",alto risco
"sinto uma leve dor no cotovelo ao fazer exercício de preacher curl",baixo risco
"tive uma inalação de corpo estranho e estou engasgado sem conseguir tossir",alto risco
"tenho uma leve dor no calcanhar ao fazer exercício de corrida em esteira",baixo risco
"estou com confusão mental aguda e não sei que dia é hoje nem onde estou",alto risco
"sinto uma leve dor no joelho ao fazer exercício de leg press horizontal",baixo risco
"minha pele está descamando em grandes pedaços com dor e febre",alto risco
"tenho uma leve dor no ombro ao fazer exercício de upright row",baixo risco
"estou com sangramento intenso pelo ânus com dor abdominal forte",alto risco
"sinto uma leve dor no pescoço ao fazer exercício de chin tuck",baixo risco
"tive uma exposição prolongada ao calor e estou com pele quente seca e confusão",alto risco
"tenho uma leve dor no tornozelo ao fazer exercício de eversão do pé",baixo risco
"estou com dor de cabeça intensa e perda de audição súbita em um ouvido",alto risco
"sinto uma leve dor no quadril ao fazer exercício de hip thrust",baixo risco
"estou com dor intensa no peito e sensação de peso esmagador",alto risco
"sinto uma leve dor no cotovelo ao abrir portas pesadas",baixo risco
"minha frequência cardíaca está acima de 200 batimentos por minuto",alto risco
"tenho uma leve dor no calcanhar ao caminhar em piso duro",baixo risco
"estou com febre alta e petéquias espalhadas pelo corpo",alto risco
"sinto uma leve dor no joelho ao fazer exercício de cadeira abdutora",baixo risco
"tive uma queda de escada e estou com dor forte na bacia",alto risco
"tenho uma leve dor no ombro ao fazer exercício de shrug",baixo risco
"estou com dor abdominal intensa e vômitos com sangue após ingestão de álcool",alto risco
"sinto uma leve dor no pescoço ao olhar para o lado",baixo risco
"minha perna está com edema tenso e dor que piora ao flexionar o pé",alto risco
"tenho uma leve dor no tornozelo ao caminhar em terreno pedregoso",baixo risco
"estou com dor no peito que apareceu após estresse emocional intenso",alto risco
"sinto uma leve dor no quadril ao sentar em cadeira baixa",baixo risco
"tive uma reação alérgica com urticária generalizada e dificuldade para respirar",alto risco
"tenho uma leve dor no cotovelo ao fazer exercício de cable curl",baixo risco
"estou com febre de 40 graus e dor de cabeça com vômitos em criança",alto risco
"sinto uma leve dor no calcanhar ao usar sapato sem palmilha",baixo risco
"minha visão está com cortina escura descendo em um olho",alto risco
"tenho uma leve dor no joelho ao fazer exercício de sissy squat",baixo risco
"estou com dor forte na região do esterno com irradiação para o braço",alto risco
"sinto uma leve dor no ombro ao fazer exercício de lateral raise",baixo risco
"tive uma mordida de cachorro profunda com sangramento intenso",alto risco
"tenho uma leve dor no pescoço ao fazer exercício de neck curl",baixo risco
"estou com inchaço e dor intensa na região genital com febre",alto risco
"sinto uma leve dor no tornozelo ao usar bota",baixo risco
"minha pressão está 25 por 15 e estou com dor de cabeça e sangramento nasal",alto risco
"tenho uma leve dor no quadril ao fazer exercício de deadlift romeno",baixo risco
"estou com dor de cabeça intensa e convulsões em gestante",alto risco
"sinto uma leve dor no cotovelo ao fazer exercício de kickback",baixo risco
"tive uma queda e estou com deformidade no punho e dor intensa",alto risco
"tenho uma leve dor no calcanhar ao fazer exercício de pliometria",baixo risco
"estou com dor abdominal intensa e rigidez com febre e taquicardia",alto risco
"sinto uma leve dor no joelho ao fazer exercício de hack squat",baixo risco
"meu coração está com batimentos muito irregulares e sinto desmaio iminente",alto risco
"tenho uma leve dor no ombro ao fazer exercício de cable crossover",baixo risco
"estou com sangramento vaginal intenso com coágulos grandes e tontura",alto risco
"sinto uma leve dor no pescoço ao fazer exercício de levantamento terra",baixo risco
"tive uma inalação de fumaça tóxica e estou com dor de cabeça e confusão",alto risco
"tenho uma leve dor no tornozelo ao fazer exercício de box jump",baixo risco
"estou com dor no peito e falta de ar após viagem longa de avião",alto risco
"sinto uma leve dor no quadril ao fazer exercício de good morning",baixo risco
"minha pele está com bolhas hemorrágicas e dor intensa após queimadura",alto risco
"tenho uma leve dor no cotovelo ao fazer exercício de skull crusher",baixo risco
"estou com febre alta e dor intensa na garganta com dificuldade para abrir a boca",alto risco
"sinto uma leve dor no calcanhar ao fazer exercício de jump squat",baixo risco
"tive uma perda de consciência com queda e trauma na cabeça",alto risco
"tenho uma leve dor no joelho ao fazer exercício de pistol squat",baixo risco
"estou com dor intensa no olho com pupila dilatada e visão turva",alto risco
"sinto uma leve dor no ombro ao fazer exercício de bent over row",baixo risco
"estou com dor forte no peito e sudorese fria intensa há mais de uma hora",alto risco
"sinto uma leve dor no pescoço ao fazer exercício de face pull com corda",baixo risco
"minha saturação de oxigênio está caindo rapidamente e estou cianótico",alto risco
"tenho uma leve dor no tornozelo ao fazer exercício de single leg deadlift",baixo risco
"estou com dor abdominal intensa e distensão com impossibilidade de eliminar gases",alto risco
"sinto uma leve dor no quadril ao fazer exercício de sumo squat",baixo risco
"tive uma queda de moto e estou com escoriações extensas e dor no tórax",alto risco
"tenho uma leve dor no cotovelo ao fazer exercício de close grip bench press",baixo risco
"estou com febre alta e dor intensa na região sacral com secreção purulenta",alto risco
"sinto uma leve dor no calcanhar ao fazer exercício de calf raise sentado",baixo risco
"minha visão está completamente borrada e tenho dor de cabeça intensa súbita",alto risco
"tenho uma leve dor no joelho ao fazer exercício de front squat",baixo risco
"estou com dor no peito que não melhora com mudança de posição há horas",alto risco
"sinto uma leve dor no ombro ao fazer exercício de dumbbell press",baixo risco
"tive uma exposição a radiação e estou com náusea e vômitos intensos",alto risco
"tenho uma leve dor no pescoço ao fazer exercício de overhead press",baixo risco
"estou com inchaço e dor intensa na panturrilha com vermelhidão local",alto risco
"sinto uma leve dor no tornozelo ao fazer exercício de lateral shuffle",baixo risco
"minha pressão está muito baixa e não consigo ficar em pé sem desmaiar",alto risco
"tenho uma leve dor no quadril ao fazer exercício de step up",baixo risco
"estou com dor de cabeça intensa e sangue saindo pelo ouvido",alto risco
"sinto uma leve dor no cotovelo ao fazer exercício de dip",baixo risco
"tive uma crise de diabetes com glicemia muito alta e estou confuso e desidratado",alto risco
"tenho uma leve dor no calcanhar ao fazer exercício de sprint",baixo risco
"estou com dor forte no peito e braço esquerdo com náusea e suor frio",alto risco
"sinto uma leve dor no joelho ao fazer exercício de goblet squat",baixo risco
"minha garganta está com edema e estou com estridor respiratório",alto risco
"tenho uma leve dor no ombro ao fazer exercício de chest fly",baixo risco
"estou com sangramento intenso por ferida no pescoço",alto risco
"sinto uma leve dor no pescoço ao fazer exercício de lat pulldown",baixo risco
"tive uma queda e estou com dor intensa no joelho com deformidade visível",alto risco
"tenho uma leve dor no tornozelo ao fazer exercício de burpee",baixo risco
"estou com febre alta e erupção cutânea dolorosa com bolhas agrupadas",alto risco
"sinto uma leve dor no quadril ao fazer exercício de romanian deadlift",baixo risco
"meu abdômen está com equimose periumbilical e dor intensa",alto risco
"tenho uma leve dor no cotovelo ao fazer exercício de overhead extension",baixo risco
"estou com dor abdominal intensa e sangue na urina após trauma",alto risco
"sinto uma leve dor no calcanhar ao fazer exercício de mountain climber",baixo risco
"tive uma perda súbita de força nas quatro extremidades",alto risco
"tenho uma leve dor no joelho ao fazer exercício de sumo deadlift",baixo risco
"estou com dor no peito e dispneia progressiva há dias com perda de peso",alto risco
"sinto uma leve dor no ombro ao fazer exercício de incline press",baixo risco
"minha pele está com necrose e odor fétido em ferida infectada",alto risco
"tenho uma leve dor no pescoço ao fazer exercício de seated row",baixo risco
"estou com confusão mental aguda e febre após procedimento cirúrgico",alto risco
"sinto uma leve dor no tornozelo ao fazer exercício de skipping",baixo risco
"tive uma ingestão de corpo estranho e estou com dor no peito ao engolir",alto risco
"tenho uma leve dor no quadril ao fazer exercício de kettlebell swing",baixo risco
"estou com dor de cabeça intensa e paralisia de nervos cranianos",alto risco
"sinto uma leve dor no cotovelo ao fazer exercício de reverse curl",baixo risco
"estou com dor intensa no peito e sensação de queimação que sobe pela garganta",alto risco
"sinto uma leve dor no calcanhar ao andar de chinelo",baixo risco
"minha frequência respiratória está acima de 30 e estou usando musculatura acessória",alto risco
"tenho uma leve dor no joelho ao descer rampa",baixo risco
"estou com febre alta e dor intensa no ouvido com secreção e perda de audição",alto risco
"sinto uma leve dor no ombro ao carregar pasta de trabalho",baixo risco
"tive uma queda de altura e estou com dor forte na coluna cervical",alto risco
"tenho uma leve dor no pescoço ao assistir TV deitado",baixo risco
"estou com dor abdominal intensa e massa pulsátil no abdômen",alto risco
"sinto uma leve dor no tornozelo ao usar sapato de salto baixo",baixo risco
"minha pele está com lesões purpúricas extensas e febre alta",alto risco
"tenho uma leve dor no quadril ao levantar da cama",baixo risco
"estou com dor no peito e hemoptise após trauma torácico",alto risco
"sinto uma leve dor no cotovelo ao segurar objetos pesados",baixo risco
"tive uma crise de ansiedade mas a dor no peito está piorando e irradiando",alto risco
"tenho uma leve dor no calcanhar ao pisar em pedra",baixo risco
"estou com inchaço facial grave e estridor após ingestão de alimento alergênico",alto risco
"sinto uma leve dor no joelho ao fazer exercício de step lateral",baixo risco
"minha pressão está 6 por 3 e estou com extremidades frias e sudorese",alto risco
"tenho uma leve dor no ombro ao fazer exercício de reverse fly",baixo risco
"estou com dor de cabeça intensa e epistaxe bilateral profusa",alto risco
"sinto uma leve dor no pescoço ao fazer exercício de pull up",baixo risco
"tive uma exposição a monóxido de carbono e estou com dor de cabeça e confusão",alto risco
"tenho uma leve dor no tornozelo ao caminhar na grama",baixo risco
"estou com dor forte no flanco com irradiação para a genitália e vômitos",alto risco
"sinto uma leve dor no quadril ao fazer exercício de leg raise",baixo risco
"meu coração parou e fui reanimado mas estou com dor no peito",alto risco
"tenho uma leve dor no cotovelo ao fazer exercício de wrist curl",baixo risco
"estou com febre alta e dor intensa na região inguinal com inchaço",alto risco
"sinto uma leve dor no calcanhar ao fazer exercício de skipping lateral",baixo risco
"tive uma queda e estou com sangramento pelo couro cabeludo que não para",alto risco
"tenho uma leve dor no joelho ao fazer exercício de cossack squat",baixo risco
"estou com dor abdominal intensa e sinais de peritonite com febre",alto risco
"sinto uma leve dor no ombro ao fazer exercício de landmine press",baixo risco
"minha respiração está com ruídos e estou com cianose perioral",alto risco
"tenho uma leve dor no pescoço ao fazer exercício de barbell row",baixo risco
"estou com dor no peito e edema agudo de pulmão com dispneia severa",alto risco
"sinto uma leve dor no tornozelo ao fazer exercício de ankle circles",baixo risco
"tive uma picada de escorpião e estou com dor intensa e sudorese",alto risco
"tenho uma leve dor no quadril ao fazer exercício de donkey kick",baixo risco
"estou com sangramento intenso pela boca após trauma facial",alto risco
"sinto uma leve dor no cotovelo ao fazer exercício de chin up",baixo risco
"minha glicemia está muito baixa e estou tremendo e confuso",alto risco
"tenho uma leve dor no calcanhar ao fazer exercício de bear crawl",baixo risco
"estou com dor de cabeça intensa e vômitos após trauma craniano",alto risco
"sinto uma leve dor no joelho ao fazer exercício de box squat",baixo risco
"tive uma reação transfusional com febre calafrios e dor lombar",alto risco
"tenho uma leve dor no ombro ao fazer exercício de push press",baixo risco
"estou com dor forte no peito e taquicardia com hipotensão",alto risco
"sinto uma leve dor no pescoço ao fazer exercício de cable row",baixo risco
"minha perna está com gangrena e odor fétido com febre",alto risco
"tenho uma leve dor no tornozelo ao fazer exercício de carioca drill",baixo risco
"estou com febre alta e dor intensa na região perianal com inchaço",alto risco
"sinto uma leve dor no quadril ao fazer exercício de side plank",baixo risco
"tive uma queda de árvore e estou com múltiplas fraturas e sangramento",alto risco
"tenho uma leve dor no cotovelo ao fazer exercício de zottman curl",baixo risco
"estou com dor abdominal intensa e choque com abdômen em tábua",alto risco
"sinto uma leve dor no calcanhar ao fazer exercício de high knees",baixo risco
"minha visão está com escotoma central e dor ocular intensa",alto risco
"tenho uma leve dor no joelho ao fazer exercício de split squat",baixo risco
"estou com dor no peito e arritmia maligna com instabilidade hemodinâmica",alto risco
"sinto uma leve dor no ombro ao fazer exercício de clean and press",baixo risco
"tive uma intoxicação por organofosforado com salivação excessiva e miose",alto risco
"tenho uma leve dor no pescoço ao fazer exercício de t-bar row",baixo risco
"estou com inchaço e dor intensa no escroto com febre alta",alto risco
"sinto uma leve dor no tornozelo ao fazer exercício de grapevine",baixo risco
"minha pressão intracraniana está elevada com papiledema e vômitos",alto risco
"tenho uma leve dor no quadril ao fazer exercício de glute bridge",baixo risco
"estou com dor de cabeça intensa e hemiparesia progressiva",alto risco
"sinto uma leve dor no cotovelo ao fazer exercício de spider curl",baixo risco
"tive uma queimadura química nos olhos e não consigo abrir",alto risco
"tenho uma leve dor no calcanhar ao fazer exercício de tuck jump",baixo risco
"estou com febre alta e dor intensa na região retroauricular com inchaço",alto risco
"sinto uma leve dor no joelho ao fazer exercício de jefferson squat",baixo risco
"meu abdômen está com sinais de irritação peritoneal e defesa involuntária",alto risco
"tenho uma leve dor no ombro ao fazer exercício de snatch",baixo risco
"estou com sangramento intenso por laceração profunda no couro cabeludo",alto risco
"sinto uma leve dor no pescoço ao fazer exercício de pendlay row",baixo risco
"tive uma crise de porfiria com dor abdominal intensa e confusão mental",alto risco
"tenho uma leve dor no tornozelo ao fazer exercício de lateral bound",baixo risco
"estou com dor forte no peito e dispneia com ortopneia e dispneia paroxística noturna",alto risco
"sinto uma leve dor no quadril ao fazer exercício de curtsy lunge",baixo risco
"minha pele está com eritema migratório após picada de carrapato com febre",alto risco
"tenho uma leve dor no cotovelo ao fazer exercício de bayesian curl",baixo risco
"estou com dor abdominal intensa e hematêmese com instabilidade hemodinâmica",alto risco
"sinto uma leve dor no calcanhar ao fazer exercício de depth jump",baixo risco
"tive uma queda e estou com dor forte no ombro com deformidade visível",alto risco
"tenho uma leve dor no joelho ao fazer exercício de zercher squat",baixo risco
"estou com febre alta e dor intensa na região submandibular com trismo",alto risco
"sinto uma leve dor no ombro ao fazer exercício de plate raise",baixo risco
"minha frequência cardíaca está abaixo de 30 e estou com síncope",alto risco
"tenho uma leve dor no pescoço ao fazer exercício de meadows row",baixo risco
"estou com dor no peito e choque cardiogênico com extremidades frias",alto risco
"sinto uma leve dor no tornozelo ao fazer exercício de broad jump",baixo risco
"tive uma exposição a agente biológico e estou com febre e lesões cutâneas",alto risco
"tenho uma leve dor no quadril ao fazer exercício de frog pump",baixo risco
"estou com dor de cabeça intensa e sinais de herniação cerebral",alto risco
"sinto uma leve dor no cotovelo ao fazer exercício de cable pushdown",baixo risco
"minha respiração está agonal e estou perdendo a consciência",alto risco
"tenho uma leve dor no calcanhar ao fazer exercício de scissor jump",baixo risco
"estou com dor intensa no peito e braço que não passa com nitroglicerina",alto risco
"sinto uma leve dor no joelho ao subir no ônibus",baixo risco
"minha pele está com necrose extensa e crepitação ao toque",alto risco
"tenho uma leve dor no ombro ao pendurar roupa no varal",baixo risco
"estou com febre alta e dor intensa na região orbital com proptose",alto risco
"sinto uma leve dor no pescoço ao fazer exercício de face pull com banda",baixo risco
"tive uma queda e estou com dor forte no fêmur com encurtamento da perna",alto risco
"tenho uma leve dor no tornozelo ao usar sapato de corrida novo",baixo risco
"estou com dor abdominal intensa e sinais de isquemia mesentérica",alto risco
"sinto uma leve dor no quadril ao fazer exercício de single leg squat",baixo risco
"meu coração está em fibrilação atrial com resposta ventricular rápida e hipotensão",alto risco
"tenho uma leve dor no cotovelo ao fazer exercício de diamond push up",baixo risco
"estou com sangramento intenso por varizes esofágicas com hematêmese",alto risco
"sinto uma leve dor no calcanhar ao fazer exercício de ankle hop",baixo risco
"tive uma crise addisoniana com hipotensão severa e confusão",alto risco
"tenho uma leve dor no joelho ao fazer exercício de overhead squat",baixo risco
"estou com dor de cabeça intensa e diplopia com ptose palpebral",alto risco
"sinto uma leve dor no ombro ao fazer exercício de cable lateral raise",baixo risco
"minha pressão está oscilando entre muito alta e muito baixa com tontura",alto risco
"tenho uma leve dor no pescoço ao fazer exercício de inverted row",baixo risco
"estou com dor forte no peito e taquipneia com crepitações bilaterais",alto risco
"sinto uma leve dor no tornozelo ao fazer exercício de single leg hop",baixo risco
"tive uma reação anafilática com broncoespasmo severo e hipotensão",alto risco
"tenho uma leve dor no quadril ao fazer exercício de lateral walk com banda",baixo risco
"estou com febre alta e dor intensa na região cervical com linfadenopatia",alto risco
"sinto uma leve dor no cotovelo ao fazer exercício de french press",baixo risco
"minha visão está com amaurose fugaz e tenho sopro carotídeo",alto risco
"tenho uma leve dor no calcanhar ao fazer exercício de pogos",baixo risco
"estou com dor abdominal intensa e ascite de início rápido com icterícia",alto risco
"sinto uma leve dor no joelho ao fazer exercício de nordic curl",baixo risco
"tive uma queda e estou com dor forte no cotovelo com deformidade",alto risco
"tenho uma leve dor no ombro ao fazer exercício de band pull apart",baixo risco
"estou com dor no peito e sinais de tamponamento cardíaco com turgência jugular",alto risco
"sinto uma leve dor no pescoço ao fazer exercício de dumbbell row",baixo risco
"minha perna está com síndrome compartimental e dor desproporcional ao exame",alto risco
"tenho uma leve dor no tornozelo ao fazer exercício de lateral lunge",baixo risco
"estou com febre alta e dor intensa na região lombar com piúria",alto risco
"sinto uma leve dor no quadril ao fazer exercício de monster walk",baixo risco
"tive uma intoxicação por cogumelos com vômitos e insuficiência hepática",alto risco
"tenho uma leve dor no cotovelo ao fazer exercício de incline curl",baixo risco
"estou com dor de cabeça intensa e sinais de trombose venosa cerebral",alto risco
"sinto uma leve dor no calcanhar ao fazer exercício de drop jump",baixo risco
"meu abdômen está com equimose nos flancos e dor intensa após trauma",alto risco
"tenho uma leve dor no joelho ao fazer exercício de reverse lunge",baixo risco
"estou com sangramento intenso por ruptura de baço após acidente",alto risco
"sinto uma leve dor no ombro ao fazer exercício de prone fly",baixo risco
"tive uma crise miastênica com fraqueza respiratória progressiva",alto risco
"tenho uma leve dor no pescoço ao fazer exercício de single arm row",baixo risco
"estou com dor forte no peito e sinais de dissecção coronariana",alto risco
"sinto uma leve dor no tornozelo ao fazer exercício de curtsy squat",baixo risco
"minha respiração está com padrão de Cheyne-Stokes e estou sonolento",alto risco
"tenho uma leve dor no quadril ao fazer exercício de banded squat",baixo risco
"estou com febre alta e dor intensa na região temporal com cefaleia pulsátil",alto risco
"sinto uma leve dor no cotovelo ao fazer exercício de cable curl",baixo risco
"tive uma queda e estou com dor forte na clavícula com deformidade",alto risco
"tenho uma leve dor no calcanhar ao fazer exercício de lateral step up",baixo risco
"estou com dor abdominal intensa e sinais de perfuração de víscera oca",alto risco
"sinto uma leve dor no joelho ao fazer exercício de walking lunge",baixo risco
"minha pele está com angioedema hereditário com edema de glote",alto risco
"tenho uma leve dor no ombro ao fazer exercício de rear delt fly",baixo risco
"estou com dor no peito e insuficiência cardíaca aguda com edema pulmonar",alto risco
